class	carn	carn	carn	carn	carn	carn	carn	carn	carn	herb	herb	herb	herb	herb	herb	herb	herb	herb	herb	omni	omni	omni	omni	omni	omni	omni	omni	omni	omni
subclass	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	carn_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	herb_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA	omni_NA
subject	SRR11927435	SRR11927436	SRR11927437	SRR11927438	SRR11927439	SRR11927440	SRR11927441	SRR11927452	SRR11927463	SRR11927453	SRR11927454	SRR11927455	SRR11927456	SRR11927457	SRR11927458	SRR11927459	SRR11927460	SRR11927461	SRR11927462	SRR11927442	SRR11927443	SRR11927444	SRR11927445	SRR11927446	SRR11927447	SRR11927448	SRR11927449	SRR11927450	SRR11927451
WP_005843068	0.0	0.0	0.0	0.0	0.0	0.0	305.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_005843592	0.0	0.0	0.0	0.0	0.0	0.0	300.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_005866465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	288.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_005867100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	116.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_005931648	1.0	0.0	3.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
WP_006638533	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	259.0	0.0	0.0	0.0	80.0	0.0	1.0	13.0	7.0	0.0	1.0	0.0	0.0	2.0	0.0
WP_006800771	0.0	198.0	0.0	233.0	37.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_006842305	0.0	12.0	0.0	25.0	107.0	0.0	5.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_006843049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	241.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
WP_006856572	246.0	31.0	0.0	0.0	36.0	80.0	4.0	0.0	172.0	15.0	0.0	0.0	0.0	0.0	0.0	0.0	76.0	0.0	0.0	6.0	2.0	0.0	10.0	0.0	9.0	0.0	0.0	0.0	1.0
